#,BEER,BREWERY,LOCATION,STYLE,SIZE,ABV,IBUs
355,Golden Frau Honey Wheat,Thunderhead Brewing Company,"Kearney, NE",Braggot,12 oz.,7.50%,N/A
356,Golden Pilsner,Morgan Street Brewery,"Saint Louis, MO",German Pilsener,12 oz.,5%,35
357,Golden Road Hefeweizen,Golden Road Brewing,"Los Angeles, CA",Hefeweizen,16 oz.,4.60%,N/A
358,Golden State Ale,Uncommon Brewers,"Santa Cruz, CA",Belgian Pale Ale,16 oz.,6.40%,N/A
359,Golden Trout Pilsner,Mammoth Brewing Company,"Mammoth Lakes, CA",German Pilsener,12 oz.,4.20%,N/A
360,Golden Wing Blonde Ale,Finch's Beer Company,"Chicago, IL",American Blonde Ale,16 oz.,4.70%,N/A
361,Good People American Brown Ale,Good People Brewing Company,"Birmingham, AL",American Brown Ale,12 oz.,5.80%,36
362,Good People IPA,Good People Brewing Company,"Birmingham, AL",American IPA,12 oz.,6%,64
363,Good People Pale Ale,Good People Brewing Company,"Birmingham, AL",American Pale Ale (APA),12 oz.,5.60%,36
364,Gordon (2005),Oskar Blues Brewery,"Lyons, CO",American Double / Imperial IPA,12 oz.,9.20%,85
